"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"0_0_5_25","2023-04-30 17:46:21.412",1,4,3,46,321,16
"0_0_5_25","2023-04-30 17:46:21.412",1,4,1,211,321,16
"0_0_5_25","2023-04-30 17:46:21.412",1,4,911,52,321,16
"0_0_3_14","2023-04-30 17:46:39.708",1,3,911,62,316,15
"0_0_3_14","2023-04-30 17:46:39.708",1,3,3,73,316,15
"0_0_3_14","2023-04-30 17:46:39.708",1,3,1,149,316,15
"0_0_5_16","2023-04-30 17:46:41.605",1,2,1,168,303,15
"0_0_5_16","2023-04-30 17:46:41.605",1,2,911,44,303,15
"0_0_5_16","2023-04-30 17:46:41.605",1,2,3,71,303,15
"0_0_4_4","2023-04-30 17:46:51.451",1,5,3,100,302,15
"0_0_4_4","2023-04-30 17:46:51.451",1,5,1,148,302,15
"0_0_4_4","2023-04-30 17:46:51.451",1,5,911,31,302,15
"6_2_0_503","2023-04-30 17:46:55.109",1,1,1,70,314,15
"6_2_0_503","2023-04-30 17:46:55.109",1,1,3,150,314,15
"6_2_0_503","2023-04-30 17:46:55.109",1,1,911,82,314,15
"3_17_0_1","2023-04-30 17:47:13.892",1,1,911,36,307,15
"3_17_0_1","2023-04-30 17:47:13.892",1,1,3,153,307,15
"3_17_0_1","2023-04-30 17:47:13.892",1,1,1,100,307,15
"0_0_5_28","2023-04-30 17:47:19.14",1,8,1,178,313,15
"0_0_5_28","2023-04-30 17:47:19.14",1,8,911,39,313,15
"0_0_5_28","2023-04-30 17:47:19.14",1,8,3,85,313,15
"12_27_0_501","2023-04-30 17:47:35.926",1,3,3,148,302,15
"12_27_0_501","2023-04-30 17:47:35.926",1,3,1,125,302,15
"12_27_0_501","2023-04-30 17:47:35.926",1,3,911,15,302,15
"3_7_0_2","2023-04-30 17:47:43.014",1,4,3,103,303,15
"3_7_0_2","2023-04-30 17:47:43.014",1,4,1,154,303,15
"3_7_0_2","2023-04-30 17:47:43.014",1,4,911,35,303,15
"0_0_5_33","2023-04-30 17:47:46.671",1,4,3,89,308,15
